id,category,cluster_id,brand,title,description,price,specTableContent
17014053,Jewelry,11012750,"""Rolex"""," ""Rolex Milgauss 116400 GV"" GV Watch | Watchfinder & Co.""","""This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history."", ""
                            Like many of its iconic watch families, Rolex's Milgauss was created in 1956 with a specific market in mind: scientists, power station workers and anyone else exposed to high magnetic fields. It was designed to be able to resist fields up to 1,000 gauss (hence the name—“mille” is Latin for thousand). The watch built a solid reputation with only two models until 1988, and was happily revived two decades later in a modern re-edition that remains faithful to the original purpose and aesthetics—including the beloved lightning bolt hand. This gorgeous GV version (Glace Verte) has a green-tinted dial crystal, and uses a Parachrom-Blu hairspring for even better magnetic and shock resistance.
                            
                        "" ",,
15045487,Jewelry,454804,," "" Daniel Wellington Men's Cambridge Silver 40mm Watch""@en ""Men's Watch (DW00100017) - WATCH SHOP.com™""@en","""This slim-line gents Daniel Wellington Cambridge Silver 40mm watch is made from stainless steel and is powered by an analogue quartz movement. It is fastened with a multicolour fabric strap and has a white dial. ""@en ",,
9571796,Jewelry,10459518,," "" Mens Marea Watch 54088/3 ""All Watches""",,,
14251295,Jewelry,635138,"""Junghans""@de"," ""Automatikuhr Max Bill""@de ""Junghans Automatikuhr Bill 027/4700.00 nur 925 00 €""@de","""
					Artikel-Nr.: 3522 027/4700.00
					
					Klassische Herrenuhr der Serie Max Bill by Junghans
					

					Automatikwerk J800.1
					

					Poliertes Edelstahlgehäuse
					

					Schwazres Kalbslederband mit DornschließeEine Dornschließe beschreibt die Verschlussart einer Uhr.  In dem längeren Armbandteil werden löcher gestanzt. Auf der anderen Seite befindet sich die Dornschließe, welche aus einem Dorn und einem Metallbügel in U-Form, diese verhindert, dass der Dorn aus dem Loch rutscht.
Dornschließen sind an diversen Materialien zu finden und erstrecken sich in alle Preisklasse. Häufig findet man Dornschließen bei Lederarmbändern oder Textilarmbändern.

 Noch Fragen? Hier geht es zum Uhren-Lexikon
					

					Gewölbtes Plexi-Hartglas
					

					Gehäusebreite 38 mm, Höhe 10 mm, Gewicht 32 g
					

					Datumsanzeige
					

					Sekundenzeiger
					

					Weißes Zifferblatt mit arabischen Ziffern
					

					IndizesIndizes ist das deutsche Wort für das lateinische Index. Spricht man von Indizes, dann sind die Zahlen die die Zeit anzeigen (bei vielen Uhren z.B. arabische Zahlen: 3, 6, 9, 12, aber auch z.B. römische Zahlen: III, VI, IX, XII) oder stattdessen die Platzhalter dafür gemeint. Platzhalter können je nach Gestaltung der Uhr die Unterschiedlichsten Formen haben. Uhrenindexe werden oft nicht nur aufgemalt sondern auch aufgesetzt – bei exklusiven Uhren auch veredelt (mit z.B. Gold, Rosegold, Silber, Chrom). Noch Fragen? Hier geht es zum Uhren-Lexikon und Zeiger mit Leuchmasse
					

					Spritzwassergeschützt
					

					100 Tage Niedrigpreisgarantie, bei uhrzeit.org kaufen Sie ohne Preisrisiko!
					

					Für unsere Waren bestehen die gesetzlichen Gewährleistungsrechte
					

					Informationen zu AutomatikuhrenWas sind eigentlich Automatikuhren?Automatikuhren sind Uhren, welche ein mechanisches Uhrwerk aufweisen und von einem Rotor angetrieben werden. Dieser wird  durch Bewegungen vom Arm bzw. Handgelenk  zum Rotieren gebracht  um die Hauptantriebsfeder aufzuziehen.  Aufgrund dessen wird laufend Energie hergestellt, so dass eine Batterie überflüssig wird. Die Gangabweichungen einer Uhr variieren je nach Fertigung, Kalibrierung beim Hersteller, Lebensstil, sowie Tragegewohnheit des Trägers. Die meisten Automatikuhren haben eine Gangabweichung von -20/+30 Sekunden am Tag.  Dies muss leider akzeptiert werden. Sofern eine höhere Ganggenauigkeit gewünscht ist, sind Uhren mit Chronometerprüfung  eine gute Wahl.  Hier erhalten die Uhren das Bewertungszertifikat COSC, für welches sie im Vorfeld diverse Tests bestehen müssen – erst dann dürfen sie sich als Chronometer bezeichnen. Die Ganggenauigkeit darf maximal -4/+6 Sekunden Abweichung am Tag aufweisen und ist ca. 20 Mal genauer als eine normale Automatikuhr. Um der Ganggenauigkeit positiv entgegen zu wirken spielen die Tragegewohnheiten des Trägers eine große Rolle, denn ein aktiver Uhrenträger kann sich über eine genauere Uhr freuen als ein „passiver“ Uhrenträger.Neben der Ganggenauigkeit spielt auch die Gangreserve eine zentrale Rolle bei Automatikuhren. Die Gangreserve, auch Gangautonomie genannt, bezeichnet die Zeitdauer, in der das Uhrwerk weiterläuft, nachdem sie das letzte Mal bewegt wurde. Hier variiert die Stundenanzahl sehr stark und liegt je nach Uhr zwischen 32 und 60 Stunden.Die Langlebigkeit einer Automatikuhr  kann durch das Verhindern von starken Temperaturschwankungen, unnötigen Stößen, Luftdruckschwankungen und Wasserdruck, sowie das häufige Tragen einer Uhr erheblich verbessert werden. Dies wirkt sich auf alle Teile, insbesondere auf das Uhrwerk, sehr positiv aus.Ein großer Vorteil von Automatikuhren ist, dass sie ohne Batterien auskommen. Des Weiteren entfällt das manuelle Aufziehen der Triebfeder. Somit wird eine lange Haltbarkeit einer Automatikuhr gewährleistet. Das Uhrwerk sollte nach 2-5 Jahren ggf. überholt werden, um die Haltbarkeit weiter sicherzustellen.Zu guter Letzt ist es wichtig zu wissen,  wo der Unterschied zwischen Quarz- und Automatikuhren liegt. Quarzuhren sind im Handel in analoger und digitaler Ausführung erhältlich.  Sie sind elektromechanische oder auch vollelektronische Uhren deren Taktgeber ein elektronischer Oszillator ist. Daher ziehen sie ihre Energie meist aus einer Batterie oder aus Knopfzellen. Einige wenige Ausnahmen gibt es, in denen mechanische Energie über einen Mechanismus  in elektrische Ladung umgewandelt und in Akkus gespeichert wird. Dies ist beispielsweise bei der Linie Seiko Kinetic der Fall. Quarzuhren werden meist als Echtzeituhren bezeichnet. Hieraus lässt sich schließen, dass eine Quarzuhr im Gegensatz zu einer Automatikuhr hinsichtlich der Genauigkeit ganz klar die Nase vorn hat und ohne Bewegung der Uhr absolute Genauigkeit aufweist.Automatikuhren sind besonders interessant für Uhrenkenner. Einen Blickfang stellt der flüssig laufende Sekundenzeiger dar. Häufig sind die Uhren mit einem Glasboden versehen, der einen Blick auf das Uhrwerk und den sich bewegenden Rotor zulässt. Die Faszination der Mechanik einer Uhr liegt ganz klar bei Automatikuhr en!
						
				""@de ",,
769348,Jewelry,1491262,," "" M200 Bluetooth GPS Activity Tracker Heart Rate Monitor Watch ""@de ""Damen-Sportuhren""@de",,,
10175284,Jewelry,8296280,," ""Bvlgari B.Zero1 Watch BZ23WSGCL 12"" BZ23WSGS 12.M | Dejaun Jewelers""","""<p> A finely crafted timepiece makes a bold statement of style. While many people think watches are simply a practical accessory, a fine timepiece can also add elegance to your look. At Dejaun Jewelers, we are proud to offer a large selection of some of the worldâ€™s finest luxury watch brands, including Bvlgari. We are also proud to be an authorized Bvlgari retailer in Los Angeles. Bvlgari's exquisite timepieces are built to endure. This Ladies watch with model number BZ23WSGCL 12 is part of the unique B.Zero1 collection. It features a skillfully crafted Quartz (battery) movement, Leather band, and a 18k pink gold bezel.</p>"" ",,
6498478,Jewelry,7543534,," ""Michele Deco Watch MWW06P000100"" ""Shop Michele MWW06P000108 Watches | Northeastern Fine Jewelry""","""<p>This exceptional timepiece, model number MWW06P000100 from Michele provides beauty and top notch functionality for watch enthusiasts and average wearers alike. This Ladies timepiece combines performance and unmatched craftsmanship. </p>

<p> 
This is a watch of reliable functionality and distinct style. A white dial provides an elegant contrast to the bold and captivating numbers. Its quartz (battery) movement offers excellence in technical innovation. This watch includes central 60 second hand, chronograph, date, day, small second hand complications. Its complications are distinctively positioned for easy reading. The numbers on this timepiece are in indexes, diamond style, seamlessly fitting right in with the entire piece. The case is artfully crafted of gold plated stainless steel, both attention grabbing and is crafted to last. The watch’s gold plated stainless steel band is smooth and made out of the highest quality materials. This bezel is one that will not be forgotten and will always be by your side. It encircles the scratch resistant sapphire crystal of the watch. It has a 150 ft (50 meter) water resistance. The true showstopper of this piece is the diamonds that are located in the bezel, dial of this watch. </p>

<p>Northeastern Fine Jewelry has sleek, elegant, and luxurious watches for any price level. For more information, call 1-855-795-NEFJ or email at info@nefj.com.</p>"" ",,
16313076,Jewelry,9348595,," ""Omega Master Co-Axial 41 mm""@en-GB",,,
17456440,Jewelry,351844,," "" Mens Raymond Weil Freelancer Automatic Watch 2740-ST-50021 ""Mens Watches""",,,
12038042,Jewelry,105347,," ""Daniel Wellington Dapper York rose gold""@en-GB gold 10:35 Watch boutique""@en-GB",,, More Information Price €159.00 EAN 7350068243646 Brand Daniel Wellington Dial type Analogue Dial color White Gender Unisex Case material Stainless steel Case shape Round Case diameter 34 mm Case thickness 6 mm Case color Rosé gold Glass material Mineral glass Band material Leather Band color Brown Band thickness 19 mm Warranty 2 years Water resistance 3 ATM
